minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:ritual/craft_ritual_satchel_t2 | occultism:ritual | c:ender_pearls c:ingots/silver c:leathers c:strings minecraft:dispenser minecraft:hopper minecraft:wool occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft_afrit occultism:craft_with_spirit_name occultism:ritual occultism:ritual_dummy/craft_ritual_satchel_t2 occultism:ritual_satchel_t2
occultism:ritual/craft_satchel | occultism:ritual | c:chests/wooden c:ingots/silver c:leathers c:strings occultism:book_of_binding_bound_foliot occultism:craft_foliot occultism:craft_with_spirit_name occultism:ritual occultism:ritual_dummy/craft_satchel occultism:satchel
occultism:ritual/craft_soul_gem | occultism:ritual | c:gems/diamond c:ingots/copper c:ingots/gold c:ingots/silver minecraft:soul_fire_base_blocks occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:fragile_soul_gem occultism:ritual occultism:ritual_dummy/craft_soul_gem occultism:soul_gem
occultism:ritual/craft_spirit_grindstone | occultism:ritual | c:gems/prismarine c:glass_blocks minecraft:grindstone occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:ritual occultism:ritual_dummy/craft_spirit_grindstone occultism:spirit_attuned_crystal occultism:spirit_grindstone
occultism:ritual/craft_stabilizer_tier1 | occultism:ritual | c:dusts/blaze c:storage_blocks/copper occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier1 occultism:spirit_attuned_gem occultism:storage_stabilizer_tier0 occultism:storage_stabilizer_tier1
occultism:ritual/craft_stabilizer_tier1_dark | occultism:ritual | c:dusts/blaze c:storage_blocks/copper occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier1_dark occultism:spirit_attuned_gem occultism:storage_stabilizer_tier0_dark occultism:storage_stabilizer_tier1_dark
occultism:ritual/craft_stabilizer_tier2 | occultism:ritual | c:storage_blocks/silver minecraft:ghast_tear occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier2 occultism:spirit_attuned_gem occultism:storage_stabilizer_tier1 occultism:storage_stabilizer_tier2
occultism:ritual/craft_stabilizer_tier2_dark | occultism:ritual | c:storage_blocks/silver minecraft:ghast_tear occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier2_dark occultism:spirit_attuned_gem occultism:storage_stabilizer_tier1_dark occultism:storage_stabilizer_tier2_dark
occultism:ritual/craft_stabilizer_tier3 | occultism:ritual | c:storage_blocks/gold minecraft:totem_of_undying occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier3 occultism:spirit_attuned_crystal occultism:storage_stabilizer_tier2 occultism:storage_stabilizer_tier3
occultism:ritual/craft_stabilizer_tier3_dark | occultism:ritual | c:storage_blocks/gold minecraft:totem_of_undying occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier3_dark occultism:spirit_attuned_crystal occultism:storage_stabilizer_tier2_dark occultism:storage_stabilizer_tier3_dark
occultism:ritual/craft_stabilizer_tier4 | occultism:ritual | c:storage_blocks/iesnium minecraft:beacon occultism:book_of_binding_bound_marid occultism:craft occultism:craft_marid occultism:marid_essence occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier4 occultism:spirit_attuned_crystal occultism:storage_stabilizer_tier3 occultism:storage_stabilizer_tier4
occultism:ritual/craft_stabilizer_tier4_dark | occultism:ritual | c:storage_blocks/iesnium minecraft:beacon occultism:book_of_binding_bound_marid occultism:craft occultism:craft_marid occultism:marid_essence occultism:ritual occultism:ritual_dummy/craft_stabilizer_tier4_dark occultism:spirit_attuned_crystal occultism:storage_stabilizer_tier3_dark occultism:storage_stabilizer_tier4_dark
occultism:ritual/craft_stable_wormhole | occultism:ritual | c:ender_pearls c:gems/quartz c:ingots/gold occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:otherstone_frame occultism:ritual occultism:ritual_dummy/craft_stable_wormhole occultism:stable_wormhole
occultism:ritual/craft_stable_wormhole_dark | occultism:ritual | c:ender_pearls c:gems/quartz c:ingots/gold occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:otherrock_frame occultism:ritual occultism:ritual_dummy/craft_stable_wormhole_dark occultism:stable_wormhole_dark
occultism:ritual/craft_storage_controller_base | occultism:ritual | c:ingots/copper c:ingots/gold occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:otherstone_pedestal occultism:ritual occultism:ritual_dummy/craft_storage_controller_base occultism:storage_controller_base
occultism:ritual/craft_storage_controller_base_dark | occultism:ritual | c:ingots/copper c:ingots/gold occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:otherstone_pedestal_silver occultism:ritual occultism:ritual_dummy/craft_storage_controller_base_dark occultism:storage_controller_base_dark
occultism:ritual/craft_storage_remote | occultism:ritual | c:ender_pearls c:gems/quartz occultism:book_of_binding_bound_djinni occultism:craft_djinni occultism:craft_with_spirit_name occultism:ritual occultism:ritual_dummy/craft_storage_remote occultism:storage_remote occultism:storage_remote_inert
occultism:ritual/craft_true_sight_staff | occultism:ritual | c:ingots/netherite occultism:book_of_binding_bound_marid occultism:craft occultism:craft_marid occultism:divination_rod occultism:iesnium_pickaxe occultism:marid_essence occultism:otherworld_essence occultism:otherworld_goggles occultism:ritual occultism:ritual_dummy/craft_true_sight_staff occultism:true_sight_staff
occultism:ritual/craft_upgrade_ritual_satchel | occultism:ritual | c:ender_pearls occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft_afrit occultism:ritual occultism:ritual_dummy/craft_upgrade_ritual_satchel occultism:ritual_satchel_t1 occultism:ritual_satchel_t2 occultism:upgrade
occultism:ritual/craft_vitality_compass | occultism:ritual | c:gems/amethyst minecraft:compass occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:ritual occultism:ritual_dummy/craft_vitality_compass occultism:spirit_attuned_gem occultism:vitality_compass
occultism:ritual/craft_witherite_dust | occultism:ritual | c:dusts/blackstone c:dusts/netherite minecraft:wither_rose minecraft:wither_skeleton_skull occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:ritual occultism:ritual_dummy/craft_witherite_dust occultism:witherite_dust
occultism:ritual/familiar_bat | occultism:ritual | c:bats c:dusts/glowstone minecraft:golden_carrot minecraft:lava_bucket minecraft:spider_eye minecraft:torch occultism:bat_familiar occultism:book_of_binding_bound_djinni occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_bat occultism:spawn_egg/familiar_bat occultism:summon_tamed
occultism:ritual/familiar_beaver | occultism:ritual | c:pigs minecraft:logs occultism:beaver_familiar occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:ritual occultism:ritual_dummy/familiar_beaver occultism:spawn_egg/familiar_beaver occultism:summon_tamed
occultism:ritual/familiar_beholder | occultism:ritual | c:dusts/glowstone c:spiders minecraft:spider_eye occultism:beholder_familiar occultism:book_of_binding_bound_djinni occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_beholder occultism:spawn_egg/familiar_beholder occultism:summon_tamed
occultism:ritual/familiar_blacksmith | occultism:ritual | c:stones minecraft:anvil minecraft:iron_axe minecraft:iron_pickaxe minecraft:iron_shovel minecraft:zombies occultism:blacksmith_familiar occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:ritual occultism:ritual_dummy/familiar_blacksmith occultism:spawn_egg/familiar_blacksmith occultism:summon_tamed
occultism:ritual/familiar_chimera | occultism:ritual | c:bones c:feathers c:leathers c:sheep c:strings minecraft:beef minecraft:chicken minecraft:mutton minecraft:porkchop minecraft:wool occultism:book_of_binding_bound_djinni occultism:chimera_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_chimera occultism:spawn_egg/familiar_chimera occultism:summon_tamed
occultism:ritual/familiar_cthulhu | occultism:ritual | c:squids minecraft:fishes occultism:book_of_binding_bound_djinni occultism:cthulhu_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_cthulhu occultism:spawn_egg/familiar_cthulhu occultism:summon_tamed
occultism:ritual/familiar_deer | occultism:ritual | c:cows c:rods/wooden c:strings occultism:book_of_binding_bound_foliot occultism:deer_familiar occultism:possess_foliot occultism:ritual occultism:ritual_dummy/familiar_deer occultism:spawn_egg/familiar_deer occultism:summon_tamed
occultism:ritual/familiar_devil | occultism:ritual | c:bones c:horses c:magma minecraft:lava_bucket occultism:book_of_binding_bound_djinni occultism:devil_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_devil occultism:spawn_egg/familiar_devil occultism:summon_tamed
occultism:ritual/familiar_dragon | occultism:ritual | c:gunpowders c:horses c:storage_blocks/gold minecraft:coals minecraft:flint_and_steel minecraft:lava_bucket minecraft:obsidian minecraft:quartz_block occultism:book_of_binding_bound_djinni occultism:dragon_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_dragon occultism:spawn_egg/familiar_dragon occultism:summon_tamed
occultism:ritual/familiar_fairy | occultism:ritual | c:buckets/milk c:gunpowders c:horses minecraft:ghast_tear minecraft:golden_apple occultism:book_of_binding_bound_djinni occultism:fairy_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_fairy occultism:spawn_egg/familiar_fairy occultism:summon_tamed
occultism:ritual/familiar_greedy | occultism:ritual | c:chests c:storage_blocks/iron minecraft:dispenser minecraft:hopper minecraft:zombies occultism:book_of_binding_bound_foliot occultism:greedy_familiar occultism:possess_foliot occultism:ritual occultism:ritual_dummy/familiar_greedy occultism:spawn_egg/familiar_greedy occultism:summon_tamed
occultism:ritual/familiar_guardian | occultism:ritual | c:gems/diamond minecraft:golden_apple occultism:book_of_binding_bound_afrit occultism:guardian_familiar occultism:humans occultism:possess_afrit occultism:ritual occultism:ritual_dummy/familiar_guardian occultism:spawn_egg/familiar_guardian occultism:summon_tamed
occultism:ritual/familiar_headless | occultism:ritual | c:crops/wheat c:golems/snow c:rods/wooden minecraft:carved_pumpkin minecraft:hay_block occultism:book_of_binding_bound_djinni occultism:headless_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_headless occultism:spawn_egg/familiar_headless occultism:summon_tamed
occultism:ritual/familiar_mummy | occultism:ritual | c:llamas c:slime_balls minecraft:paper minecraft:wool occultism:book_of_binding_bound_djinni occultism:mummy_familiar occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_mummy occultism:spawn_egg/familiar_mummy occultism:summon_tamed
occultism:ritual/familiar_otherworld_bird | occultism:ritual | c:eggs c:feathers c:parrots c:strings minecraft:leaves occultism:book_of_binding_bound_djinni occultism:otherworld_bird occultism:possess_djinni occultism:ritual occultism:ritual_dummy/familiar_otherworld_bird occultism:spawn_egg/otherworld_bird occultism:summon_tamed
occultism:ritual/familiar_parrot | occultism:ritual | c:chickens c:dyes/blue c:dyes/green c:dyes/red c:dyes/yellow c:feathers c:strings minecraft:parrot minecraft:parrot_spawn_egg occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:ritual occultism:ritual_dummy/familiar_parrot occultism:summon_with_chance_of_chicken_tamed
occultism:ritual/misc_bee_nest | occultism:ritual | c:bees minecraft:bee_nest minecraft:beehive minecraft:honeycomb_block occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_bee_nest
occultism:ritual/misc_bell | occultism:ritual | c:goats c:nuggets/gold c:stones c:storage_blocks/gold minecraft:bell minecraft:chain minecraft:logs occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_bell
occultism:ritual/misc_budding_amethyst | occultism:ritual | c:dusts/amethyst c:pigs minecraft:amethyst_block minecraft:budding_amethyst occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_budding_amethyst
occultism:ritual/misc_celestial_chalice | occultism:ritual | c:ravagers c:storage_blocks/iesnium c:storage_blocks/netherite minecraft:bell minecraft:budding_amethyst minecraft:chorus_flower minecraft:end_stone_bricks minecraft:heavy_core minecraft:reinforced_deepslate minecraft:respawn_anchor minecraft:sculk_catalyst minecraft:soul_lantern minecraft:sponge occultism:celestial_chalice occultism:contact_eldritch_spirit occultism:craft occultism:iesnium_sacrificial_bowl occultism:ritual occultism:ritual_dummy/misc_celestial_chalice
occultism:ritual/misc_chalk_rainbow | occultism:ritual | c:sheep occultism:brush occultism:chalk_blue occultism:chalk_brown occultism:chalk_cyan occultism:chalk_gold occultism:chalk_green occultism:chalk_light_blue occultism:chalk_lime occultism:chalk_magenta occultism:chalk_orange occultism:chalk_pink occultism:chalk_purple occultism:chalk_rainbow occultism:chalk_red occultism:contact_eldritch_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_chalk_rainbow
occultism:ritual/misc_chalk_void | occultism:ritual | occultism:brush occultism:chalk_black occultism:chalk_gray occultism:chalk_light_gray occultism:chalk_void occultism:chalk_white occultism:contact_eldritch_spirit occultism:craft occultism:humans occultism:ritual occultism:ritual_dummy/misc_chalk_void
occultism:ritual/misc_diamond_horse_armor | occultism:ritual | c:armadillos c:gems/diamond minecraft:diamond_horse_armor minecraft:leather_horse_armor occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_diamond_horse_armor
