create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:milling/compat/atmospheric/gilia | create:milling | atmospheric:gilia create:milling minecraft:magenta_dye minecraft:pink_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/hot_monkey_brush | create:milling | atmospheric:hot_monkey_brush create:milling minecraft:orange_dye minecraft:red_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/red_arid_sandstone | create:milling | atmospheric:red_arid_sand atmospheric:red_arid_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/scalding_monkey_brush | create:milling | atmospheric:scalding_monkey_brush create:milling minecraft:orange_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/tall_yucca_flower | create:milling | atmospheric:tall_yucca_flower create:milling minecraft:light_gray_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/warm_monkey_brush | create:milling | atmospheric:warm_monkey_brush create:milling minecraft:orange_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/water_hyacinth | create:milling | atmospheric:water_hyacinth create:milling minecraft:brown_dye minecraft:lime_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/yucca_flower | create:milling | atmospheric:yucca_flower create:milling minecraft:light_gray_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/autumnity/autumn_crocus | create:milling | autumnity:autumn_crocus create:milling minecraft:magenta_dye minecraft:pink_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/black_sandstone | create:milling | biomesoplenty:black_sand biomesoplenty:black_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/blue_hydrangea | create:milling | biomesoplenty:blue_hydrangea create:milling minecraft:green_dye minecraft:light_blue_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/burning_blossom | create:milling | biomesoplenty:burning_blossom create:milling minecraft:lime_dye minecraft:orange_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/cattail | create:milling | biomesoplenty:cattail create:milling minecraft:brown_dye minecraft:green_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/endbloom | create:milling | biomesoplenty:endbloom create:milling minecraft:light_gray_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/glowflower | create:milling | biomesoplenty:glowflower create:milling minecraft:cyan_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/goldenrod | create:milling | biomesoplenty:goldenrod create:milling minecraft:green_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/icy_iris | create:milling | biomesoplenty:icy_iris create:milling minecraft:light_blue_dye minecraft:light_gray_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/lavender | create:milling | biomesoplenty:lavender create:milling minecraft:green_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/orange_cosmos | create:milling | biomesoplenty:orange_cosmos create:milling minecraft:lime_dye minecraft:orange_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/orange_sandstone | create:milling | biomesoplenty:orange_sand biomesoplenty:orange_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/pink_daffodil | create:milling | biomesoplenty:pink_daffodil create:milling minecraft:cyan_dye minecraft:magenta_dye minecraft:pink_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/pink_hibiscus | create:milling | biomesoplenty:pink_hibiscus create:milling minecraft:green_dye minecraft:pink_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/rose | create:milling | biomesoplenty:rose create:milling minecraft:green_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/tall_lavender | create:milling | biomesoplenty:tall_lavender create:milling minecraft:green_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/tall_white_lavender | create:milling | biomesoplenty:tall_white_lavender create:milling minecraft:green_dye minecraft:light_blue_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/tiny_cactus | create:milling | biomesoplenty:tiny_cactus create:milling minecraft:green_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/violet | create:milling | biomesoplenty:violet create:milling minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/waterlily | create:milling | biomesoplenty:waterlily create:milling minecraft:pink_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/white_lavender | create:milling | biomesoplenty:white_lavender create:milling minecraft:green_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/white_petals | create:milling | biomesoplenty:white_petals create:milling minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/white_sandstone | create:milling | biomesoplenty:white_sand biomesoplenty:white_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/wildflower | create:milling | biomesoplenty:wildflower create:milling minecraft:lime_dye minecraft:magenta_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomesoplenty/wilted_lily | create:milling | biomesoplenty:wilted_lily create:milling minecraft:gray_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/allium_flower_bush | create:milling | biomeswevegone:allium_flower_bush create:milling minecraft:green_dye minecraft:magenta_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/alpine_bellflower | create:milling | biomeswevegone:alpine_bellflower create:milling minecraft:blue_dye minecraft:green_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/amaranth | create:milling | biomeswevegone:amaranth create:milling minecraft:green_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/angelica | create:milling | biomeswevegone:angelica create:milling minecraft:green_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/begonia | create:milling | biomeswevegone:begonia create:milling minecraft:green_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/bistort | create:milling | biomeswevegone:bistort create:milling minecraft:green_dye minecraft:pink_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/black_rose | create:milling | biomeswevegone:black_rose create:milling minecraft:black_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/black_sandstone | create:milling | biomeswevegone:black_sand biomeswevegone:black_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/blue_rose_bush | create:milling | biomeswevegone:blue_rose_bush create:milling minecraft:blue_dye minecraft:green_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/blue_sage | create:milling | biomeswevegone:blue_sage create:milling minecraft:blue_dye minecraft:cyan_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/blue_sandstone | create:milling | biomeswevegone:blue_sand biomeswevegone:blue_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/california_poppy | create:milling | biomeswevegone:california_poppy create:milling minecraft:green_dye minecraft:orange_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/crocus | create:milling | biomeswevegone:crocus create:milling minecraft:blue_dye minecraft:green_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/cyan_amaranth | create:milling | biomeswevegone:cyan_amaranth create:milling minecraft:cyan_dye minecraft:green_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/cyan_rose | create:milling | biomeswevegone:cyan_rose create:milling minecraft:cyan_dye minecraft:green_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/cyan_tulip | create:milling | biomeswevegone:cyan_tulip create:milling minecraft:cyan_dye minecraft:lime_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/daffodil | create:milling | biomeswevegone:daffodil create:milling minecraft:green_dye minecraft:magenta_dye minecraft:pink_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/delphinium | create:milling | biomeswevegone:delphinium create:milling minecraft:blue_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/fairy_slipper | create:milling | biomeswevegone:fairy_slipper create:milling minecraft:magenta_dye minecraft:pink_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/firecracker_flower_bush | create:milling | biomeswevegone:firecracker_flower_bush create:milling minecraft:green_dye minecraft:pink_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/foxglove | create:milling | biomeswevegone:foxglove create:milling minecraft:magenta_dye minecraft:pink_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/golden_spined_cactus | create:milling | biomeswevegone:golden_spined_cactus create:milling minecraft:green_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/green_tulip | create:milling | biomeswevegone:green_tulip create:milling minecraft:green_dye minecraft:lime_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/guzmania | create:milling | biomeswevegone:guzmania create:milling minecraft:magenta_dye minecraft:pink_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/horseweed | create:milling | biomeswevegone:horseweed create:milling minecraft:brown_dye minecraft:green_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/hydrangea_bush | create:milling | biomeswevegone:hydrangea_bush create:milling minecraft:blue_dye minecraft:purple_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/incan_lily | create:milling | biomeswevegone:incan_lily create:milling minecraft:green_dye minecraft:orange_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/iris | create:milling | biomeswevegone:iris create:milling minecraft:green_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/japanese_orchid | create:milling | biomeswevegone:japanese_orchid create:milling minecraft:pink_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/kovan_flower | create:milling | biomeswevegone:kovan_flower create:milling minecraft:green_dye minecraft:lime_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/biomeswevegone/lazarus_bellflower | create:milling | biomeswevegone:lazarus_bellflower create:milling minecraft:green_dye minecraft:magenta_dye neoforge:compound neoforge:mod_loaded
