createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:create/item_application/cream_cake_from_item_application | create:item_application | c:cake_base c:cream_frosting_piping_bag create:item_application createfood:cream_cake createfood:enabled createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/cream_cake_glow_berry_from_item_application | create:item_application | c:cream_cake create:item_application createfood:cream_cake_glow_berry createfood:enabled fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/item_application/cream_cake_sweet_berry_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded minecraft:cake minecraft:sweet_berries neoforge:mod_loaded
createfood:create/item_application/cream_chocolate_cake_from_item_application | create:item_application | c:chocolate_cake_base c:cream_frosting_piping_bag create:item_application createfood:cream_chocolate_cake createfood:enabled createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/cyan_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/cyan c:gelatin_dessert_block create:item_application createfood:cyan_gelatin_dessert_block createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/gelatin_dessert_block_from_item_application | create:item_application | c:dyes/white c:gelatin_dessert_block create:item_application createfood:enabled createfood:gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/glow_berry_cream_cake_chorus_fruit_from_item_application | create:item_application | c:chorus_fruit c:glow_berry_cream_cake create:item_application createfood:enabled createfood:glow_berry_cream_cake_chorus_fruit fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/glow_berry_cream_cake_from_item_application | create:item_application | c:cake_base c:glow_berry_cream_frosting_piping_bag create:item_application createfood:enabled createfood:glow_berry_cream_cake createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/glow_berry_cream_cake_glow_berry_from_item_application | create:item_application | c:glow_berry_cream_cake create:item_application createfood:enabled createfood:glow_berry_cream_cake_glow_berry fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/item_application/glow_berry_cream_cake_sweet_berry_from_item_application | create:item_application | c:glow_berry_cream_cake create:item_application createfood:enabled createfood:glow_berry_cream_cake_sweet_berry fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/item_application/gray_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/gray c:gelatin_dessert_block create:item_application createfood:enabled createfood:gray_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/green_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/green c:gelatin_dessert_block create:item_application createfood:enabled createfood:green_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/light_blue_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/light_blue c:gelatin_dessert_block create:item_application createfood:enabled createfood:light_blue_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/light_gray_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/light_gray c:gelatin_dessert_block create:item_application createfood:enabled createfood:light_gray_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/lime_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/lime c:gelatin_dessert_block create:item_application createfood:enabled createfood:lime_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/magenta_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/magenta c:gelatin_dessert_block create:item_application createfood:enabled createfood:magenta_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/melon_cream_cake_from_item_application | create:item_application | c:cake_base c:melon_cream_frosting_piping_bag create:item_application createfood:enabled createfood:melon_cream_cake createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/orange_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/orange c:gelatin_dessert_block create:item_application createfood:enabled createfood:orange_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/pink_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/pink c:gelatin_dessert_block create:item_application createfood:enabled createfood:pink_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/pizza_dough_tomato_sauce_from_item_application | create:item_application | c:pizza_dough c:tomato_sauce create:item_application createfood:enabled createfood:pizza_dough_tomato_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/purple_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/purple c:gelatin_dessert_block create:item_application createfood:enabled createfood:purple_gelatin_dessert_block fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_apple_cheesecake_from_item_application | create:item_application | c:apple c:raw_cheesecake create:item_application createfood:enabled createfood:raw_apple_cheesecake fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_apple_pie_from_item_application | create:item_application | c:apple_pie_filling_bucket c:raw_pie_crust create:item_application createfood:enabled createfood:raw_apple_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_bacon_pizza_from_item_application | create:item_application | c:cooked_pork c:raw_cheese_pizza create:item_application createfood:enabled createfood:raw_bacon_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_berry_cheesecake_from_item_application | create:item_application | c:raw_cheesecake create:item_application createfood:enabled createfood:raw_berry_cheesecake fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/item_application/raw_berry_pie_from_item_application | create:item_application | c:berry_pie_filling_bucket c:raw_pie_crust create:item_application createfood:enabled createfood:raw_berry_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_cheese_pizza_from_item_application | create:item_application | c:cheeses c:pizza_dough_tomato_sauce create:item_application createfood:enabled createfood:raw_cheese_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_cheesecake_from_item_application | create:item_application | c:cheesecake_filling_bucket c:raw_graham_cracker_pie_crust create:item_application createfood:enabled createfood:raw_cheesecake fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_chocolate_pie_from_item_application | create:item_application | c:buckets/chocolate c:raw_pie_crust create:item_application createfood:enabled createfood:raw_chocolate_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_chocolate_pie_graham_cracker_from_item_application | create:item_application | c:buckets/chocolate c:raw_graham_cracker_pie_crust create:item_application createfood:enabled createfood:raw_chocolate_pie_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_chorus_fruit_cheesecake_from_item_application | create:item_application | c:chorus_fruit c:raw_cheesecake create:item_application createfood:enabled createfood:raw_chorus_fruit_cheesecake fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_chorus_fruit_pie_from_item_application | create:item_application | c:chorus_fruit_pie_filling_bucket c:raw_pie_crust create:item_application createfood:enabled createfood:raw_chorus_fruit_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_cream_pie_chocolate_graham_cracker_from_item_application | create:item_application | c:cream_pie_filling_bucket c:raw_chocolate_graham_cracker_pie_crust create:item_application createfood:enabled createfood:raw_cream_pie_chocolate_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_cream_pie_graham_cracker_from_item_application | create:item_application | c:cream_pie_filling_bucket c:raw_graham_cracker_pie_crust create:item_application createfood:enabled createfood:raw_cream_pie_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_fish_bacon_pizza_from_item_application | create:item_application | c:cooked_pork c:raw_fish_pizza create:item_application createfood:enabled createfood:raw_fish_bacon_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_fish_bacon_pizza_from_item_application_alt_1 | create:item_application | c:cooked_fishes c:raw_bacon_pizza create:item_application createfood:enabled createfood:raw_fish_bacon_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_fish_onion_pizza_from_item_application | create:item_application | c:onion c:raw_fish_pizza create:item_application createfood:enabled createfood:raw_fish_onion_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_fish_onion_pizza_from_item_application_alt_1 | create:item_application | c:cooked_fishes c:raw_onion_pizza create:item_application createfood:enabled createfood:raw_fish_onion_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_fish_pizza_from_item_application | create:item_application | c:cooked_fishes c:raw_cheese_pizza create:item_application createfood:enabled createfood:raw_fish_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_glow_berry_cheesecake_from_item_application | create:item_application | c:raw_cheesecake create:item_application createfood:enabled createfood:raw_glow_berry_cheesecake fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/item_application/raw_glow_berry_pie_from_item_application | create:item_application | c:glow_berry_pie_filling_bucket c:raw_pie_crust create:item_application createfood:enabled createfood:raw_glow_berry_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_meat_pie_from_item_application | create:item_application | c:meat_pie_filling c:raw_pie_crust create:item_application createfood:enabled createfood:raw_meat_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_bacon_pizza_from_item_application | create:item_application | c:cooked_pork c:raw_mushroom_pizza create:item_application createfood:enabled createfood:raw_mushroom_bacon_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_bacon_pizza_from_item_application_alt_1 | create:item_application | c:mushrooms c:raw_bacon_pizza create:item_application createfood:enabled createfood:raw_mushroom_bacon_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_fish_pizza_from_item_application | create:item_application | c:cooked_fishes c:raw_mushroom_pizza create:item_application createfood:enabled createfood:raw_mushroom_fish_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_fish_pizza_from_item_application_alt_1 | create:item_application | c:mushrooms c:raw_fish_pizza create:item_application createfood:enabled createfood:raw_mushroom_fish_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_onion_pizza_from_item_application | create:item_application | c:onion c:raw_mushroom_pizza create:item_application createfood:enabled createfood:raw_mushroom_onion_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_onion_pizza_from_item_application_alt_1 | create:item_application | c:mushrooms c:raw_onion_pizza create:item_application createfood:enabled createfood:raw_mushroom_onion_pizza fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/raw_mushroom_pizza_from_item_application | create:item_application | c:mushrooms c:raw_cheese_pizza create:item_application createfood:enabled createfood:raw_mushroom_pizza fabric:all_mods_loaded neoforge:mod_loaded
